200822192 0000CFE6: 70C0  MOVEQ #FFFFFFC0, D0            D=00000000 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000CFE0 50F02000 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D5E
200822193 0000CFE8: 8029  OR.B 1E00(A1), D0              D=FFFFFFC0 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000CFE0 50F02000 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D5E
200822194 0000CFEC: 4680  NOT.L D0                       D=FFFFFFFF FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000CFE0 50F02000 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D5E
200822195 0000CFEE: 6602  BNE CFF2                       D=00000000 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000CFE0 50F02000 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D5E
200822196 0000CFF0: 4E75  RTS                            D=00000000 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000CFE0 50F02000 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D5E
200822197 40806260: 4AB8  TST.L (D94)                    D=00000000 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000CFE0 50F02000 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D62
200822198 40806264: 670E  BEQ 40806274                   D=00000000 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000CFE0 50F02000 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D62
200822199 40806274: 101F  MOVE.B (A7)+, D0               D=00000000 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000CFE0 50F02000 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D62
200822200 40806276: 6706  BEQ 4080627E                   D=00000000 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000CFE0 50F02000 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D64
200822201 4080627E: 4CDF  MOVEM.L (A7)+, D0D1D2D3A0A1A2A3 D=00000000 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=0000CFE0 50F02000 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D64
200822202 40806282: 4E73  RTE                            D=00000001 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=007D9E68 00007ECC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D84
200822203 00095A9A: 0C6F  CMP.W #64, 6(A7)               D=00000001 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=007D9E68 00007ECC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D84
200822204 00095AA0: 6646  BNE 95AE8                      D=00000001 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=007D9E68 00007ECC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D84
200822205 00095AA2: 48E7  MOVEM.L A1A0D1D0, -(A7)        D=00000001 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=007D9E68 00007ECC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D84
200822206 00095AA6: 7217  MOVEQ #17, D1                  D=00000001 FFFF0220 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=007D9E68 00007ECC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D74
200822207 00095AA8: 302F  MOVE.W 10(A7), D0              D=00000001 00000017 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=007D9E68 00007ECC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D74
200822208 00095AAC: 0240  ANDI.W #FFFFC700, D0           D=00002000 00000017 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=007D9E68 00007ECC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D74
200822209 00095AB0: 6632  BNE 95AE4                      D=00000000 00000017 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=007D9E68 00007ECC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D74
200822210 00095AB2: 0838  BTST #6, (160)                 D=00000000 00000017 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=007D9E68 00007ECC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D74
200822211 00095AB8: 662A  BNE 95AE4                      D=00000000 00000017 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=007D9E68 00007ECC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D74
200822212 00095ABA: 0838  BTST #6, (D92)                 D=00000000 00000017 00000016 00000001 A223E2C5 DB6D0003 6DB6069E B6DB6D00 A=007D9E68 00007ECC 0004640E 00006AB4 007BA6B0 007E05D8 007D9ED4 007D9D74
